step,train_rmse_step,epoch,valid_rmse,valid_loss,train_loss,train_rmse_epoch,test_loss,test_rmse
4,11.260000228881836,0,,,,,,
9,7.603181838989258,0,,,,,,
14,8.200905799865723,0,,,,,,
16,,0,8.231247901916504,67.75344848632812,,,,
16,,0,,,105.7337875366211,10.122015953063965,,
19,8.980023384094238,1,,,,,,
24,8.52518367767334,1,,,,,,
29,8.206074714660645,1,,,,,,
33,,1,7.706963062286377,59.39727783203125,,,,
33,,1,,,62.32699203491211,7.805759429931641,,
34,7.282935619354248,2,,,,,,
39,6.690779685974121,2,,,,,,
44,9.128454208374023,2,,,,,,
49,6.750485897064209,2,,,,,,
50,,2,7.687170505523682,59.09259033203125,,,,
50,,2,,,55.642791748046875,7.399056911468506,,
54,8.633845329284668,3,,,,,,
59,6.587656497955322,3,,,,,,
64,6.477039813995361,3,,,,,,
67,,3,7.707452774047852,59.40483093261719,,,,
67,,3,,,54.393131256103516,7.289271354675293,,
69,6.679442882537842,4,,,,,,
74,5.903013706207275,4,,,,,,
79,7.662318706512451,4,,,,,,
84,5.838150501251221,4,,,,,,
84,,4,7.727376937866211,59.71235656738281,,,,
84,,4,,,54.22100067138672,7.280186176300049,,
89,4.7607102394104,5,,,,,,
94,7.203815460205078,5,,,,,,
99,8.351412773132324,5,,,,,,
101,,5,7.73334264755249,59.80459213256836,,,,
101,,5,,,54.24279022216797,7.240001678466797,,
104,8.231132507324219,6,,,,,,
109,6.855006694793701,6,,,,,,
114,6.048473358154297,6,,,,,,
118,,6,7.736876487731934,59.859256744384766,,,,
118,,6,,,54.208229064941406,7.274633884429932,,
119,7.829234600067139,7,,,,,,
124,7.669187068939209,7,,,,,,
129,5.956780910491943,7,,,,,,
134,6.242013454437256,7,,,,,,
135,,7,7.745031833648682,59.98551559448242,,,,
135,,7,,,54.19304656982422,7.262472629547119,,
139,7.363502025604248,8,,,,,,
144,7.696638584136963,8,,,,,,
149,8.769498825073242,8,,,,,,
152,,8,7.790659427642822,60.694374084472656,,,,
152,,8,,,54.14333724975586,7.2939534187316895,,
154,8.192058563232422,9,,,,,,
159,6.331791400909424,9,,,,,,
164,8.917486190795898,9,,,,,,
169,9.07810115814209,9,,,,,,
169,,9,7.757233619689941,60.17467498779297,,,,
169,,9,,,54.19649887084961,7.293787479400635,,
174,8.184220314025879,10,,,,,,
179,7.854957580566406,10,,,,,,
184,6.886508464813232,10,,,,,,
186,,10,7.756470680236816,60.162837982177734,,,,
186,,10,,,54.16604995727539,7.290639877319336,,
189,6.574944019317627,11,,,,,,
194,7.637841701507568,11,,,,,,
199,7.4118876457214355,11,,,,,,
203,,11,7.758922576904297,60.20087814331055,,,,
203,,11,,,54.2376594543457,7.295398712158203,,
204,7.308380603790283,12,,,,,,
209,7.135852336883545,12,,,,,,
214,7.045962810516357,12,,,,,,
219,7.145909786224365,12,,,,,,
220,,12,7.7510223388671875,60.078346252441406,,,,
220,,12,,,54.19384002685547,7.299004077911377,,
224,8.76763916015625,13,,,,,,
229,6.668319225311279,13,,,,,,
234,7.511075496673584,13,,,,,,
237,,13,7.726117134094238,59.69288635253906,,,,
237,,13,,,54.222713470458984,7.269692897796631,,
239,7.6706132888793945,14,,,,,,
244,7.324583053588867,14,,,,,,
249,7.701509475708008,14,,,,,,
254,6.329762935638428,14,,,,,,
254,,14,7.74725866317749,60.02001953125,,,,
254,,14,,,54.20452117919922,7.290388107299805,,
259,5.6182661056518555,15,,,,,,
264,5.991777420043945,15,,,,,,
269,8.617466926574707,15,,,,,,
271,,15,7.746742248535156,60.01201248168945,,,,
271,,15,,,54.2765007019043,7.28281307220459,,
274,6.970831871032715,16,,,,,,
279,7.664632797241211,16,,,,,,
284,8.686223983764648,16,,,,,,
288,,16,7.742311954498291,59.943397521972656,,,,
288,,16,,,54.24009704589844,7.320518970489502,,
289,7.4636030197143555,17,,,,,,
294,6.217486381530762,17,,,,,,
299,7.698570251464844,17,,,,,,
304,5.964693069458008,17,,,,,,
305,,17,7.751795768737793,60.090335845947266,,,,
305,,17,,,54.1982421875,7.3290276527404785,,
309,6.863332271575928,18,,,,,,
314,7.511425495147705,18,,,,,,
319,6.806288719177246,18,,,,,,
322,,18,7.801009178161621,60.855743408203125,,,,
322,,18,,,54.186195373535156,7.290925025939941,,
324,8.143474578857422,19,,,,,,
329,9.104077339172363,19,,,,,,
334,6.26879358291626,19,,,,,,
339,6.392070770263672,19,,,,,,
339,,19,7.733678817749023,59.809791564941406,,,,
339,,19,,,54.13318634033203,7.281442165374756,,
