step,train_rmse_step,epoch,valid_rmse,valid_loss,train_loss,train_rmse_epoch,test_loss,test_rmse
4,7.723226070404053,0,,,,,,
9,5.684001922607422,0,,,,,,
14,5.444176197052002,0,,,,,,
16,,0,4.882748126983643,23.841228485107422,,,,
16,,0,,,58.556983947753906,7.301024436950684,,
19,3.709940195083618,1,,,,,,
24,2.722768783569336,1,,,,,,
29,2.958021879196167,1,,,,,,
33,,1,4.2234673500061035,17.837677001953125,,,,
33,,1,,,15.659761428833008,3.7917709350585938,,
34,2.924330472946167,2,,,,,,
39,1.8836487531661987,2,,,,,,
44,2.3864858150482178,2,,,,,,
49,2.3010261058807373,2,,,,,,
50,,2,3.455808639526367,11.942612648010254,,,,
50,,2,,,10.469292640686035,3.121812343597412,,
54,3.948176622390747,3,,,,,,
59,3.8922383785247803,3,,,,,,
64,2.6811046600341797,3,,,,,,
67,,3,6.621769905090332,43.847835540771484,,,,
67,,3,,,7.42724609375,2.6328072547912598,,
69,2.564107656478882,4,,,,,,
74,1.9020987749099731,4,,,,,,
79,1.8087232112884521,4,,,,,,
84,1.620793104171753,4,,,,,,
84,,4,2.8260951042175293,7.986813068389893,,,,
84,,4,,,8.262396812438965,2.5746068954467773,,
89,1.6502399444580078,5,,,,,,
94,3.0881118774414062,5,,,,,,
99,1.9201942682266235,5,,,,,,
101,,5,2.497174024581909,6.235877990722656,,,,
101,,5,,,5.30387544631958,2.208676815032959,,
104,1.8594112396240234,6,,,,,,
109,1.393759846687317,6,,,,,,
114,2.5181403160095215,6,,,,,,
118,,6,2.3180923461914062,5.373552322387695,,,,
118,,6,,,5.676718711853027,2.3018321990966797,,
119,1.6576405763626099,7,,,,,,
124,2.1702065467834473,7,,,,,,
129,2.071549415588379,7,,,,,,
134,2.398672580718994,7,,,,,,
135,,7,2.254347324371338,5.0820817947387695,,,,
135,,7,,,4.85232400894165,2.1066794395446777,,
139,2.1792664527893066,8,,,,,,
144,1.8095017671585083,8,,,,,,
149,1.5514672994613647,8,,,,,,
152,,8,2.2684123516082764,5.145694255828857,,,,
152,,8,,,3.8157541751861572,1.9287617206573486,,
154,2.3885459899902344,9,,,,,,
159,2.587472677230835,9,,,,,,
164,2.450324058532715,9,,,,,,
169,0.8857676386833191,9,,,,,,
169,,9,2.0865278244018555,4.353598117828369,,,,
169,,9,,,4.488228797912598,2.0519371032714844,,
174,1.9230633974075317,10,,,,,,
179,1.6879323720932007,10,,,,,,
184,1.4121142625808716,10,,,,,,
186,,10,2.881962299346924,8.305706024169922,,,,
186,,10,,,4.0294928550720215,1.9364968538284302,,
189,2.2434091567993164,11,,,,,,
194,1.8507661819458008,11,,,,,,
199,1.0301772356033325,11,,,,,,
203,,11,1.948243498802185,3.7956526279449463,,,,
203,,11,,,3.2813339233398438,1.7186686992645264,,
204,1.9363775253295898,12,,,,,,
209,1.280921220779419,12,,,,,,
214,1.9976398944854736,12,,,,,,
219,1.4382139444351196,12,,,,,,
220,,12,2.2217369079589844,4.936115264892578,,,,
220,,12,,,3.3977184295654297,1.7967404127120972,,
224,1.5349781513214111,13,,,,,,
229,2.229339361190796,13,,,,,,
234,2.3711228370666504,13,,,,,,
237,,13,2.4416379928588867,5.9615960121154785,,,,
237,,13,,,4.572141170501709,2.066793441772461,,
239,1.7265640497207642,14,,,,,,
244,1.1194918155670166,14,,,,,,
249,0.9289209246635437,14,,,,,,
254,2.5101587772369385,14,,,,,,
254,,14,2.543375253677368,6.468757629394531,,,,
254,,14,,,3.3048977851867676,1.763562560081482,,
259,1.2960193157196045,15,,,,,,
264,1.4611148834228516,15,,,,,,
269,1.61814284324646,15,,,,,,
271,,15,1.9213955402374268,3.691760778427124,,,,
271,,15,,,4.195119380950928,1.9160553216934204,,
274,1.3171454668045044,16,,,,,,
279,1.3137489557266235,16,,,,,,
284,1.6053526401519775,16,,,,,,
288,,16,1.8572781085968018,3.449481964111328,,,,
288,,16,,,2.871473550796509,1.6668050289154053,,
289,2.331598997116089,17,,,,,,
294,1.150821566581726,17,,,,,,
299,2.1873257160186768,17,,,,,,
304,1.2160933017730713,17,,,,,,
305,,17,1.7302626371383667,2.9938087463378906,,,,
305,,17,,,2.7985422611236572,1.621970295906067,,
309,1.3915060758590698,18,,,,,,
314,1.4906834363937378,18,,,,,,
319,1.244955062866211,18,,,,,,
322,,18,1.9242925643920898,3.70290207862854,,,,
322,,18,,,2.961160659790039,1.6849662065505981,,
324,1.341422438621521,19,,,,,,
329,1.7483786344528198,19,,,,,,
334,1.8993041515350342,19,,,,,,
339,2.2110822200775146,19,,,,,,
339,,19,2.545661211013794,6.480390548706055,,,,
339,,19,,,3.3393476009368896,1.783767819404602,,
344,1.911644458770752,20,,,,,,
349,1.7426012754440308,20,,,,,,
354,1.1270936727523804,20,,,,,,
356,,20,2.0266475677490234,4.107300281524658,,,,
356,,20,,,3.323549270629883,1.7942442893981934,,
359,1.7649478912353516,21,,,,,,
364,1.2291368246078491,21,,,,,,
369,1.2976528406143188,21,,,,,,
373,,21,2.5039913654327393,6.269972801208496,,,,
373,,21,,,2.9808995723724365,1.6952569484710693,,
374,2.8135814666748047,22,,,,,,
379,4.235837459564209,22,,,,,,
384,1.1728557348251343,22,,,,,,
389,1.1676801443099976,22,,,,,,
390,,22,2.2388880252838135,5.012619495391846,,,,
390,,22,,,4.896762371063232,2.0715949535369873,,
394,1.2986904382705688,23,,,,,,
399,1.5350950956344604,23,,,,,,
404,1.5226008892059326,23,,,,,,
407,,23,2.020693302154541,4.083201885223389,,,,
407,,23,,,2.99224853515625,1.669993281364441,,
409,0.9996355175971985,24,,,,,,
414,1.3530919551849365,24,,,,,,
419,1.779418706893921,24,,,,,,
424,1.373165249824524,24,,,,,,
424,,24,1.6487772464752197,2.7184665203094482,,,,
424,,24,,,2.8915319442749023,1.6550676822662354,,
429,1.9835082292556763,25,,,,,,
434,1.1841635704040527,25,,,,,,
439,1.302138090133667,25,,,,,,
441,,25,1.8569663763046265,3.448324203491211,,,,
441,,25,,,2.7788734436035156,1.6200284957885742,,
444,1.4086333513259888,26,,,,,,
449,1.484575867652893,26,,,,,,
454,1.0101737976074219,26,,,,,,
458,,26,1.4684829711914062,2.156442165374756,,,,
458,,26,,,2.73689866065979,1.6190094947814941,,
459,1.2902228832244873,27,,,,,,
464,1.3312971591949463,27,,,,,,
469,1.34372079372406,27,,,,,,
474,1.1791768074035645,27,,,,,,
475,,27,1.941274881362915,3.7685482501983643,,,,
475,,27,,,2.763596534729004,1.631763219833374,,
479,1.590713381767273,28,,,,,,
484,1.5287914276123047,28,,,,,,
489,1.5970969200134277,28,,,,,,
492,,28,1.6698589324951172,2.788429021835327,,,,
492,,28,,,2.806082248687744,1.6532001495361328,,
494,1.321541428565979,29,,,,,,
499,1.533777117729187,29,,,,,,
504,1.685227632522583,29,,,,,,
509,1.857588529586792,29,,,,,,
509,,29,2.939460515975952,8.64042854309082,,,,
509,,29,,,2.6870086193084717,1.613918662071228,,
514,1.5938453674316406,30,,,,,,
519,4.104339599609375,30,,,,,,
524,2.282006025314331,30,,,,,,
526,,30,1.6355160474777222,2.674912929534912,,,,
526,,30,,,4.500664710998535,1.9818506240844727,,
529,1.7757046222686768,31,,,,,,
534,1.4088993072509766,31,,,,,,
539,1.5248637199401855,31,,,,,,
543,,31,1.5902355909347534,2.5288491249084473,,,,
543,,31,,,2.6160061359405518,1.601258635520935,,
544,1.483598232269287,32,,,,,,
549,2.0094387531280518,32,,,,,,
554,2.1320393085479736,32,,,,,,
559,1.8244112730026245,32,,,,,,
560,,32,1.895761251449585,3.5939109325408936,,,,
560,,32,,,2.7916300296783447,1.6436946392059326,,
564,1.7606701850891113,33,,,,,,
569,0.9564931988716125,33,,,,,,
574,2.4277896881103516,33,,,,,,
577,,33,1.7598161697387695,3.0969529151916504,,,,
577,,33,,,2.99031400680542,1.6624234914779663,,
579,1.7036806344985962,34,,,,,,
584,1.233243465423584,34,,,,,,
589,2.304823398590088,34,,,,,,
594,0.6601887345314026,34,,,,,,
594,,34,1.5452579259872437,2.387821912765503,,,,
594,,34,,,2.615671396255493,1.5862218141555786,,
599,1.954725742340088,35,,,,,,
604,1.8017113208770752,35,,,,,,
609,1.4030559062957764,35,,,,,,
611,,35,1.7633076906204224,3.1092538833618164,,,,
611,,35,,,2.73809814453125,1.624989628791809,,
614,1.9667671918869019,36,,,,,,
619,1.521577000617981,36,,,,,,
624,1.0672847032546997,36,,,,,,
628,,36,1.7292189598083496,2.9901981353759766,,,,
628,,36,,,2.6155426502227783,1.5878545045852661,,
629,1.2042616605758667,37,,,,,,
634,2.034148931503296,37,,,,,,
639,1.0195430517196655,37,,,,,,
644,1.2472316026687622,37,,,,,,
645,,37,1.8093737363815308,3.2738332748413086,,,,
645,,37,,,2.5831034183502197,1.563454270362854,,
649,1.6770533323287964,38,,,,,,
654,1.619659423828125,38,,,,,,
659,1.8360490798950195,38,,,,,,
662,,38,1.362963318824768,1.8576688766479492,,,,
662,,38,,,2.341935634613037,1.5117591619491577,,
664,1.4365696907043457,39,,,,,,
669,1.4055694341659546,39,,,,,,
674,2.556648015975952,39,,,,,,
679,2.0078601837158203,39,,,,,,
679,,39,1.8510760068893433,3.4264822006225586,,,,
679,,39,,,3.1712539196014404,1.7374944686889648,,
684,2.184276819229126,40,,,,,,
689,1.9961146116256714,40,,,,,,
694,1.622429370880127,40,,,,,,
696,,40,1.622748613357544,2.6333131790161133,,,,
696,,40,,,3.652608871459961,1.8736705780029297,,
699,1.307610273361206,41,,,,,,
704,1.723359227180481,41,,,,,,
709,1.1194370985031128,41,,,,,,
713,,41,1.7098098993301392,2.923449754714966,,,,
713,,41,,,2.3178694248199463,1.4988679885864258,,
714,2.8888518810272217,42,,,,,,
719,1.4598010778427124,42,,,,,,
724,1.0478191375732422,42,,,,,,
729,1.2566955089569092,42,,,,,,
730,,42,1.4673287868499756,2.1530537605285645,,,,
730,,42,,,2.814314365386963,1.6112163066864014,,
734,0.909896731376648,43,,,,,,
739,1.9256415367126465,43,,,,,,
744,1.6422353982925415,43,,,,,,
747,,43,1.71658194065094,2.9466536045074463,,,,
747,,43,,,2.4854419231414795,1.5462534427642822,,
749,1.0403035879135132,44,,,,,,
754,1.867702603340149,44,,,,,,
759,1.3115133047103882,44,,,,,,
764,1.4611282348632812,44,,,,,,
764,,44,2.306821823120117,5.321426868438721,,,,
764,,44,,,2.7641468048095703,1.611879825592041,,
769,1.102512001991272,45,,,,,,
774,2.188563346862793,45,,,,,,
779,1.633615493774414,45,,,,,,
781,,45,1.4654910564422607,2.1476640701293945,,,,
781,,45,,,2.8745949268341064,1.660677194595337,,
784,1.7854361534118652,46,,,,,,
789,1.7692111730575562,46,,,,,,
794,1.795957326889038,46,,,,,,
798,,46,2.449044704437256,5.997819423675537,,,,
798,,46,,,2.2409205436706543,1.4719338417053223,,
799,4.227687835693359,47,,,,,,
804,0.8096644878387451,47,,,,,,
809,1.6486492156982422,47,,,,,,
814,1.8101657629013062,47,,,,,,
815,,47,1.4515835046768188,2.1070945262908936,,,,
815,,47,,,3.8497672080993652,1.8188117742538452,,
819,1.3935497999191284,48,,,,,,
824,1.1896107196807861,48,,,,,,
829,1.7727081775665283,48,,,,,,
832,,48,1.5432698726654053,2.3816819190979004,,,,
832,,48,,,2.625361680984497,1.5969997644424438,,
834,1.7179309129714966,49,,,,,,
839,1.3904434442520142,49,,,,,,
844,1.671231985092163,49,,,,,,
849,1.0470311641693115,49,,,,,,
849,,49,1.486317753791809,2.2091405391693115,,,,
849,,49,,,2.396574020385742,1.5220355987548828,,
854,1.6730027198791504,50,,,,,,
859,1.5469828844070435,50,,,,,,
864,1.2349458932876587,50,,,,,,
866,,50,1.6915427446365356,2.8613169193267822,,,,
866,,50,,,2.218575954437256,1.472664475440979,,
869,0.9871572256088257,51,,,,,,
874,2.050367832183838,51,,,,,,
879,1.757819652557373,51,,,,,,
883,,51,1.5094130039215088,2.278327465057373,,,,
883,,51,,,2.583669662475586,1.5771452188491821,,
884,1.2273651361465454,52,,,,,,
889,1.9809417724609375,52,,,,,,
894,1.6389036178588867,52,,,,,,
899,1.6655371189117432,52,,,,,,
900,,52,1.9721888303756714,3.88952898979187,,,,
900,,52,,,2.3960909843444824,1.5236258506774902,,
904,1.5616623163223267,53,,,,,,
909,1.5025992393493652,53,,,,,,
914,1.6027531623840332,53,,,,,,
917,,53,1.8773741722106934,3.524533748626709,,,,
917,,53,,,2.49554443359375,1.54947829246521,,
919,1.4044257402420044,54,,,,,,
924,2.109591245651245,54,,,,,,
929,0.929749071598053,54,,,,,,
934,0.7485744953155518,54,,,,,,
934,,54,1.4102061986923218,1.988681674003601,,,,
934,,54,,,2.4965627193450928,1.5499885082244873,,
939,1.5139269828796387,55,,,,,,
944,1.6355491876602173,55,,,,,,
949,1.757562279701233,55,,,,,,
951,,55,1.7925357818603516,3.2131845951080322,,,,
951,,55,,,2.351834297180176,1.4886525869369507,,
954,1.312448501586914,56,,,,,,
959,1.3335461616516113,56,,,,,,
964,1.378563404083252,56,,,,,,
968,,56,1.7190977334976196,2.9552969932556152,,,,
968,,56,,,2.5161077976226807,1.5633782148361206,,
969,1.7019869089126587,57,,,,,,
974,1.5020842552185059,57,,,,,,
979,1.332993984222412,57,,,,,,
984,1.5389243364334106,57,,,,,,
985,,57,1.4867737293243408,2.210495948791504,,,,
985,,57,,,2.245239734649658,1.4778426885604858,,
989,1.4028244018554688,58,,,,,,
994,1.4076658487319946,58,,,,,,
999,1.59824538230896,58,,,,,,
1002,,58,1.7827290296554565,3.1781227588653564,,,,
1002,,58,,,2.2172610759735107,1.4634778499603271,,
1004,1.072465419769287,59,,,,,,
1009,1.5290907621383667,59,,,,,,
1014,1.7426284551620483,59,,,,,,
1019,1.3825879096984863,59,,,,,,
1019,,59,1.6373687982559204,2.680976629257202,,,,
1019,,59,,,2.986621379852295,1.621516466140747,,
1024,1.3942201137542725,60,,,,,,
1029,1.4030938148498535,60,,,,,,
1034,1.877906322479248,60,,,,,,
1036,,60,1.6020680665969849,2.566622257232666,,,,
1036,,60,,,2.5674245357513428,1.5557243824005127,,
1039,1.2624174356460571,61,,,,,,
1044,1.3180252313613892,61,,,,,,
1049,1.6948862075805664,61,,,,,,
1053,,61,1.7708772420883179,3.1360061168670654,,,,
1053,,61,,,2.362398862838745,1.5046724081039429,,
1054,2.581232786178589,62,,,,,,
1059,1.3577245473861694,62,,,,,,
1064,1.362848162651062,62,,,,,,
1069,1.725318431854248,62,,,,,,
1070,,62,2.4392354488372803,5.949869632720947,,,,
1070,,62,,,2.6852502822875977,1.5602673292160034,,
1074,2.1951215267181396,63,,,,,,
1079,1.2238304615020752,63,,,,,,
1084,1.5467486381530762,63,,,,,,
1087,,63,1.9236303567886353,3.7003536224365234,,,,
1087,,63,,,2.7804970741271973,1.6308292150497437,,
1089,1.89540433883667,64,,,,,,
1094,1.7331311702728271,64,,,,,,
1099,1.1380040645599365,64,,,,,,
1104,2.9989750385284424,64,,,,,,
1104,,64,2.649874210357666,7.021833419799805,,,,
1104,,64,,,2.5325019359588623,1.5518308877944946,,
1109,1.2631464004516602,65,,,,,,
1114,1.4873652458190918,65,,,,,,
1119,1.198298692703247,65,,,,,,
1121,,65,1.9502050876617432,3.80329966545105,,,,
1121,,65,,,2.6018483638763428,1.5715705156326294,,
1124,1.0528839826583862,66,,,,,,
1129,1.4566245079040527,66,,,,,,
1134,1.515391230583191,66,,,,,,
1138,,66,1.738842487335205,3.023573398590088,,,,
1138,,66,,,2.5495808124542236,1.5498641729354858,,
1139,1.998548150062561,67,,,,,,
1144,1.2112895250320435,67,,,,,,
1149,1.4863337278366089,67,,,,,,
