T,RH,CO(GT),NOx(GT),PT08.S1(CO),C6H6(GT)
0.9239574816026165,0.8136473848285418,0.949976403964134,0.18165574746873142,0.5058035714285714,0.7827076222980661
0.9116925592804579,0.8656044336681676,0.0,0.1405598570577725,0.48839285714285713,0.777019340159272
0.9202780049059689,0.8046414963630066,0.9561113732892874,0.30196545562835025,0.6366071428571428,0.813803564656807
0.8732624693376941,0.8105299618981643,0.9584709768758848,0.37343656938653963,0.5808035714285714,0.8134243458475542
0.8483237939493049,0.8285417388292345,0.949976403964134,0.2989874925550923,0.5205357142857142,0.777019340159272
0.8769419460343417,0.9743678559057847,0.0,0.0,0.5209821428571428,0.7789154342055367
0.8491414554374489,0.8898510564599931,0.9504483246814535,0.23406789755807028,0.5486607142857143,0.7728479332574897
0.9223221586263286,0.8053342570142017,0.9523360075507314,0.18642048838594405,0.6419642857142858,0.8024270003792189
0.8937040065412919,0.9521995150675442,0.949032562529495,0.21679571173317452,0.5540178571428571,0.7857413727720896
0.9251839738348323,0.8018704537582266,0.9485606418121755,0.16140559857057774,0.4660714285714286,0.777019340159272
0.8757154538021259,0.9411153446484241,0.9528079282680509,0.26265634306134605,0.5598214285714286,0.7792946530147896
0.8548650858544562,0.9605126428818844,0.9485606418121755,0.24002382370458608,0.5241071428571429,0.7758816837315132
0.8601798855273917,0.9799099411153447,0.9480887210948561,0.2370458606313282,0.5370535714285714,0.7679180887372015
0.9043336058871627,0.8635261517145827,0.9542236904200094,0.19535437760571772,0.6017857142857143,0.8054607508532424
0.8434178250204415,0.8316591617596121,0.9528079282680509,0.319237641453246,0.5955357142857143,0.789912779673872
0.9619787408013082,0.7648077589192934,0.9513921661160925,0.16974389517569982,0.5308035714285714,0.7880166856276072
0.8417825020441537,0.8825770696224455,0.9466729589428976,0.18046456223942825,0.47633928571428574,0.7622298065984073
0.8879803761242845,0.8586768271562175,0.0,0.0,0.5888392857142857,0.7963594994311719
0.9296811120196238,0.7751991686872186,0.949032562529495,0.17212626563430616,0.53125,0.7918088737201366
0.8986099754701553,0.8004849324558365,0.9485606418121755,0.1435378201310304,0.4486607142857143,0.7755024649222603
0.8544562551103843,0.8122618635261518,0.9480887210948561,0.24419297200714712,0.5031249999999999,0.7728479332574897
0.8945216680294358,0.821960512642882,0.9622463426144408,0.44729005360333535,0.734375,0.8297307546454306
0.0,0.0,0.9697970740915526,0.8231089934484813,0.0,0.0
0.8986099754701553,0.9189470038101837,0.9462010382255781,0.0,0.45803571428571427,0.7675388699279485
0.8916598528209321,0.8323519224108071,0.9655497876356772,0.26206075044669447,0.7415178571428571,0.8486916951080774
0.0,0.0,0.9542236904200094,0.19594997022036928,0.0,0.0
0.8626328699918233,0.8330446830620022,0.9457291175082586,0.1542584871947588,0.46517857142857144,0.7637466818354192
0.9362224039247751,0.8091444405957742,0.9551675318546484,0.20607504466944612,0.5825892857142857,0.8035646568069778
0.9288634505314799,0.8607551091098027,0.9537517697026899,0.3049434187016081,0.6522321428571428,0.8153204398938189
0.857318070318888,0.9005888465535158,0.9532798489853704,0.29660512209648604,0.609375,0.7861205915813425
0.8937040065412919,0.854866643574645,0.973100519112789,0.30970815961882076,0.8553571428571428,0.8976109215017066
0.8994276369582992,0.84863179771389,0.9579990561585653,0.2310899344848124,0.7183035714285714,0.8175957527493365
0.91005723630417,0.8877727745064081,0.949032562529495,0.17808219178082194,0.5187499999999999,0.7808115282518013
0.875306623058054,0.9830273640457223,0.0,0.0,0.5665178571428571,0.7857413727720896
0.8908421913327882,0.9224108070661587,0.9594148183105238,0.39309112567004173,0.6839285714285714,0.82707622298066
0.8695829926410465,0.8465535157603049,0.9603586597451628,0.5419892793329363,0.6665178571428572,0.8263177853621541
0.8777596075224856,0.822653273294077,0.9471448796602171,0.17272185824895772,0.446875,0.7686765263557074
0.946034341782502,0.8122618635261518,0.0,0.0,0.6745535714285714,0.8301099734546834
0.8565004088307441,0.8933148597159681,0.0,0.0,0.6200892857142857,0.8460371634433069
0.9031071136549468,0.9466574298579842,0.0,0.0,0.66875,0.8194918467956012
0.9071954210956663,0.7942500865950815,0.9584709768758848,0.40023823704586065,0.6758928571428572,0.8096321577550247
0.8532297628781684,0.9726359542777971,0.9504483246814535,0.29839189994044074,0.5388392857142857,0.7849829351535837
0.9247751430907604,0.8091444405957742,0.0,0.0,0.5267857142857143,0.8005309063329542
0.9276369582992641,0.8611014894354001,0.9697970740915526,0.4455032757593806,0.8089285714285714,0.8634812286689421
0.8470973017170891,0.9303775545549013,0.9476168003775366,0.2287075640262061,0.5178571428571428,0.770951839211225
0.9272281275551921,0.9023207481815033,0.9504483246814535,0.17212626563430616,0.5866071428571429,0.7944634053849072
